"fips","polyname","maxcrop"
1001,"alabama,autauga","COTTON"
1003,"alabama,baldwin","SOYBEANS"
1005,"alabama,barbour","CORN"
1007,"alabama,bibb",NA
1009,"alabama,blount","SOYBEANS"
1011,"alabama,bullock",NA
1013,"alabama,butler","CORN"
1015,"alabama,calhoun","SOYBEANS"
1017,"alabama,chambers",NA
1019,"alabama,cherokee","SOYBEANS"
1021,"alabama,chilton",NA
1023,"alabama,choctaw",NA
1025,"alabama,clarke",NA
1027,"alabama,clay",NA
1029,"alabama,cleburne",NA
1031,"alabama,coffee","COTTON"
1033,"alabama,colbert","CORN"
1035,"alabama,conecuh","COTTON"
1037,"alabama,coosa",NA
1039,"alabama,covington","COTTON"
1041,"alabama,crenshaw","CORN"
1043,"alabama,cullman","SOYBEANS"
1045,"alabama,dale","COTTON"
1047,"alabama,dallas","COTTON"
1049,"alabama,de kalb","SOYBEANS"
1051,"alabama,elmore","COTTON"
1053,"alabama,escambia","COTTON"
1055,"alabama,etowah",NA
1057,"alabama,fayette","SOYBEANS"
1059,"alabama,franklin","SOYBEANS"
1061,"alabama,geneva","COTTON"
1063,"alabama,greene",NA
1065,"alabama,hale",NA
1067,"alabama,henry","COTTON"
1069,"alabama,houston","COTTON"
1071,"alabama,jackson","SOYBEANS"
1073,"alabama,jefferson",NA
1075,"alabama,lamar",NA
1077,"alabama,lauderdale","CORN"
1079,"alabama,lawrence","CORN"
1081,"alabama,lee",NA
1083,"alabama,limestone","SOYBEANS"
1085,"alabama,lowndes",NA
1087,"alabama,macon","SOYBEANS"
1089,"alabama,madison","SOYBEANS"
1091,"alabama,marengo","SOYBEANS"
1093,"alabama,marion",NA
1095,"alabama,marshall","SOYBEANS"
1097,"alabama,mobile","COTTON"
1099,"alabama,monroe","COTTON"
1101,"alabama,montgomery",NA
1103,"alabama,morgan","SOYBEANS"
1105,"alabama,perry","CORN"
1107,"alabama,pickens","CORN"
1109,"alabama,pike","COTTON"
1111,"alabama,randolph",NA
1113,"alabama,russell","CORN"
1115,"alabama,st clair",NA
1117,"alabama,shelby","COTTON"
1119,"alabama,sumter",NA
1121,"alabama,talladega","CORN"
1123,"alabama,tallapoosa",NA
1125,"alabama,tuscaloosa","SOYBEANS"
1127,"alabama,walker",NA
1129,"alabama,washington","CORN"
1131,"alabama,wilcox",NA
1133,"alabama,winston",NA
4001,"arizona,apache",NA
4003,"arizona,cochise",NA
4005,"arizona,coconino",NA
4007,"arizona,gila",NA
4009,"arizona,graham","COTTON"
4011,"arizona,greenlee",NA
4012,"arizona,la paz","COTTON"
4013,"arizona,maricopa","COTTON"
4015,"arizona,mohave",NA
4017,"arizona,navajo",NA
4019,"arizona,pima","COTTON"
4021,"arizona,pinal","COTTON"
4023,"arizona,santa cruz",NA
4025,"arizona,yavapai",NA
4027,"arizona,yuma","WHEAT"
5001,"arkansas,arkansas","SOYBEANS"
5003,"arkansas,ashley","SOYBEANS"
5005,"arkansas,baxter",NA
5007,"arkansas,benton",NA
5009,"arkansas,boone",NA
5011,"arkansas,bradley",NA
5013,"arkansas,calhoun",NA
5015,"arkansas,carroll",NA
5017,"arkansas,chicot","SOYBEANS"
5019,"arkansas,clark",NA
5021,"arkansas,clay","SOYBEANS"
5023,"arkansas,cleburne",NA
5025,"arkansas,cleveland",NA
5027,"arkansas,columbia",NA
5029,"arkansas,conway","SOYBEANS"
5031,"arkansas,craighead","SOYBEANS"
5033,"arkansas,crawford","SOYBEANS"
5035,"arkansas,crittenden","SOYBEANS"
5037,"arkansas,cross","SOYBEANS"
5039,"arkansas,dallas",NA
5041,"arkansas,desha","SOYBEANS"
5043,"arkansas,drew","SOYBEANS"
5045,"arkansas,faulkner","RICE"
5047,"arkansas,franklin",NA
5049,"arkansas,fulton",NA
5051,"arkansas,garland",NA
5053,"arkansas,grant",NA
5055,"arkansas,greene","RICE"
5057,"arkansas,hempstead",NA
5059,"arkansas,hot spring",NA
5061,"arkansas,howard",NA
5063,"arkansas,independence","SOYBEANS"
5065,"arkansas,izard",NA
5067,"arkansas,jackson","SOYBEANS"
5069,"arkansas,jefferson","SOYBEANS"
5071,"arkansas,johnson","CORN"
5073,"arkansas,lafayette","CORN"
5075,"arkansas,lawrence","RICE"
5077,"arkansas,lee","SOYBEANS"
5079,"arkansas,lincoln","SOYBEANS"
5081,"arkansas,little river","SOYBEANS"
5083,"arkansas,logan","SOYBEANS"
5085,"arkansas,lonoke","SOYBEANS"
5087,"arkansas,madison",NA
5089,"arkansas,marion",NA
5091,"arkansas,miller","CORN"
5093,"arkansas,mississippi","SOYBEANS"
5095,"arkansas,monroe","SOYBEANS"
5097,"arkansas,montgomery",NA
5099,"arkansas,nevada",NA
5101,"arkansas,newton",NA
5103,"arkansas,ouachita",NA
5105,"arkansas,perry","SOYBEANS"
5107,"arkansas,phillips","SOYBEANS"
5109,"arkansas,pike",NA
5111,"arkansas,poinsett","SOYBEANS"
5113,"arkansas,polk",NA
5115,"arkansas,pope","SOYBEANS"
5117,"arkansas,prairie","SOYBEANS"
5119,"arkansas,pulaski","SOYBEANS"
5121,"arkansas,randolph","RICE"
5123,"arkansas,st francis","SOYBEANS"
5125,"arkansas,saline",NA
5127,"arkansas,scott",NA
5129,"arkansas,searcy",NA
5131,"arkansas,sebastian","SOYBEANS"
5133,"arkansas,sevier",NA
5135,"arkansas,sharp",NA
5137,"arkansas,stone",NA
5139,"arkansas,union",NA
5141,"arkansas,van buren",NA
5143,"arkansas,washington",NA
5145,"arkansas,white","SOYBEANS"
5147,"arkansas,woodruff","SOYBEANS"
5149,"arkansas,yell",NA
6001,"california,alameda",NA
6003,"california,alpine",NA
6005,"california,amador",NA
6007,"california,butte","RICE"
6009,"california,calaveras",NA
6011,"california,colusa","RICE"
6013,"california,contra costa",NA
6015,"california,del norte",NA
6017,"california,el dorado",NA
6019,"california,fresno","WHEAT"
6021,"california,glenn","RICE"
6023,"california,humboldt",NA
6025,"california,imperial","WHEAT"
6027,"california,inyo",NA
6029,"california,kern","WHEAT"
6031,"california,kings","WHEAT"
6033,"california,lake",NA
6035,"california,lassen",NA
6037,"california,los angeles",NA
6039,"california,madera","WHEAT"
6041,"california,marin",NA
6043,"california,mariposa",NA
6045,"california,mendocino",NA
6047,"california,merced","COTTON"
6049,"california,modoc",NA
6051,"california,mono",NA
6053,"california,monterey",NA
6055,"california,napa",NA
6057,"california,nevada",NA
6059,"california,orange",NA
6061,"california,placer","RICE"
6063,"california,plumas",NA
6065,"california,riverside","WHEAT"
6067,"california,sacramento","CORN"
6069,"california,san benito",NA
6071,"california,san bernardino",NA
6073,"california,san diego",NA
6075,"california,san francisco",NA
6077,"california,san joaquin","CORN"
6079,"california,san luis obispo","BARLEY"
6081,"california,san mateo",NA
6083,"california,santa barbara",NA
6085,"california,santa clara",NA
6087,"california,santa cruz",NA
6089,"california,shasta","WHEAT"
6091,"california,sierra",NA
6093,"california,siskiyou","WHEAT"
6095,"california,solano","WHEAT"
6097,"california,sonoma",NA
6099,"california,stanislaus","WHEAT"
6101,"california,sutter","RICE"
6103,"california,tehama","CORN"
6105,"california,trinity",NA
6107,"california,tulare","WHEAT"
6109,"california,tuolumne",NA
6111,"california,ventura",NA
6113,"california,yolo","RICE"
6115,"california,yuba","RICE"
8001,"colorado,adams","WHEAT"
8003,"colorado,alamosa","BARLEY"
8005,"colorado,arapahoe","WHEAT"
8007,"colorado,archuleta",NA
8009,"colorado,baca","WHEAT"
8011,"colorado,bent","CORN"
8013,"colorado,boulder","WHEAT"
8014,"colorado,broomfield",NA
8015,"colorado,chaffee",NA
8017,"colorado,cheyenne","WHEAT"
8019,"colorado,clear creek",NA
8021,"colorado,conejos",NA
8023,"colorado,costilla",NA
8025,"colorado,crowley",NA
8027,"colorado,custer",NA
8029,"colorado,delta",NA
8031,"colorado,denver",NA
8033,"colorado,dolores","WHEAT"
8035,"colorado,douglas","WHEAT"
8037,"colorado,eagle",NA
8039,"colorado,elbert","CORN"
8041,"colorado,el paso",NA
8043,"colorado,fremont",NA
8045,"colorado,garfield",NA
8047,"colorado,gilpin",NA
8049,"colorado,grand",NA
8051,"colorado,gunnison",NA
8053,"colorado,hinsdale",NA
8055,"colorado,huerfano",NA
8057,"colorado,jackson",NA
8059,"colorado,jefferson",NA
8061,"colorado,kiowa","WHEAT"
8063,"colorado,kit carson","WHEAT"
8065,"colorado,lake",NA
8067,"colorado,la plata",NA
8069,"colorado,larimer","CORN"
8071,"colorado,las animas",NA
8073,"colorado,lincoln","WHEAT"
